ARO Term,ARO Accession,Reference Model Type,Reference DB,Alleles with Mapped Reads,Reference Allele(s) Identity to CARD Reference Protein (%),Resistomes & Variants: Observed in Genome(s),Resistomes & Variants: Observed in Plasmid(s),Resistomes & Variants: Observed Pathogen(s),Completely Mapped Reads,Mapped Reads with Flanking Sequence,All Mapped Reads,Average Percent Coverage,Average Length Coverage (bp),Average MAPQ (Completely Mapped Reads),Number of Mapped Baits,Number of Mapped Baits with Reads,Average Number of reads per Bait,Number of reads per Bait Coefficient of Variation (%),Number of reads mapping to baits and mapping to complete gene,Number of reads mapping to baits and mapping to complete gene (%),Mate Pair Linkage (# reads),Reference Length,AMR Gene Family,Drug Class,Resistance Mechanism
smeE,3003056,protein homolog model,CARD,1,100.0,no data,no data,Stenotrophomonas maltophilia,1.0,1.0,2.0,2.5,78.0,1.0,0,0,0,0,,,,3123,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,antibiotic efflux
ANT(6)-Ia,3002626,protein homolog model,CARD,1,100.0,no data,no data,Exiguobacterium sp.,14.0,0.0,14.0,89.24,771.0,23.86,0,0,0,0,,,,864,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
sul2,3000412,protein homolog model,CARD,1,100.0,no data,no data,Vibrio cholerae,8.0,2.0,10.0,79.04,645.0,34.2,0,0,0,0,,,,816,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement
tet(40),3000567,protein homolog model,CARD,1,100.0,no data,no data,uncultured bacterium,4.0,1.0,5.0,36.28,443.0,31.2,0,0,0,0,,,tet(O/W/32/O) (1),1221,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
ErmA,3000347,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus aureus,5.0,3.0,8.0,49.32,361.0,9.0,0,0,0,0,,,,732,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ugd,3003577,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,2.0,0.0,2.0,6.08,71.0,22.0,0,0,0,0,,,,1167,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
APH(2'')-IIIa,3002636,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus gallinarum,4.0,0.0,4.0,26.06,240.0,33.0,0,0,0,0,,,,921,APH(2''),aminoglycoside antibiotic,antibiotic inactivation
ErmG,3000522,protein homolog model,CARD,1,100.0,no data,no data,Bacteroides thetaiotaomicron,2.0,0.0,2.0,40.82,300.0,44.0,0,0,0,0,,,,735,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
sul1,3000410,protein homolog model,CARD,1,100.0,no data,no data,Vibrio fluvialis,1.0,0.0,1.0,16.67,140.0,44.0,0,0,0,0,,,qacEdelta1 (1),840,sulfonamide resistant sul,sulfonamide antibiotic,antibiotic target replacement
APH(6)-Id,3002660,protein homolog model,CARD,1,100.0,no data,no data,Pseudomonas aeruginosa,2.0,0.0,2.0,35.84,300.0,44.0,0,0,0,0,,,,837,APH(6),aminoglycoside antibiotic,antibiotic inactivation
ANT(6)-Ib,3002629,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter fetus,19.0,3.0,22.0,83.22,714.0,36.09,0,0,0,0,,,,858,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
acrB,3000216,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,3.0,1.0,4.0,4.95,156.0,11.5,0,0,0,0,,,,3150,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
tet(H),3000175,protein homolog model,CARD,1,100.0,no data,no data,Pasteurella multocida,16.0,2.0,18.0,77.81,936.0,38.67,0,0,0,0,,,,1203,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
mel,3000616,protein homolog model,CARD,1,100.0,no data,no data,Streptococcus pyogenes,23.0,7.0,30.0,79.06,963.0,28.67,0,0,0,0,,,,1218,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection
aadA15,3002615,protein homolog model,CARD,1,100.0,no data,no data,Pseudomonas aeruginosa,3.0,1.0,4.0,28.03,222.0,0.5,0,0,0,0,,,,792,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
tet(44),3000556,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter fetus,70.0,8.0,78.0,100.0,1923.0,36.41,0,0,0,0,,,,1923,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
EreD,3004608,protein homolog model,CARD,1,100.0,no data,no data,Riemerella anatipestifer,6.0,0.0,6.0,29.18,358.0,38.67,0,0,0,0,,,,1227,macrolide esterase,macrolide antibiotic,antibiotic inactivation
mef(B),3003107,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,3.0,1.0,4.0,16.75,206.0,23.5,0,0,0,0,,,,1230,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
SAT-2,3002895,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,1.0,0.0,1.0,28.57,150.0,44.0,0,0,0,0,,,aadA24 (1),525,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation
tet(Q),3000191,protein homolog model,CARD,1,100.0,no data,no data,Bacteroides fragilis,65.0,7.0,72.0,99.54,1965.0,37.99,0,0,0,0,,,,1974,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(32),3000196,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,2.0,0.0,2.0,8.18,157.0,22.0,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
APH(3')-IIIa,3002647,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter coli,22.0,2.0,24.0,100.0,795.0,37.29,0,0,0,0,,,SAT-4 (1),795,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
Erm(35),3000604,protein homolog model,CARD,1,100.0,no data,no data,Bacteroides coprosuis,13.0,1.0,14.0,94.13,754.0,33.43,0,0,0,0,,,,801,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
tet(K),3000178,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus aureus,2.0,0.0,2.0,21.74,300.0,44.0,0,0,0,0,,,,1380,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
ErmB,3000375,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecium,21.0,7.0,28.0,99.87,746.0,30.29,0,0,0,0,,,,747,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
aad(6),3002628,protein homolog model,CARD,1,100.0,no data,no data,Streptococcus oralis,7.0,1.0,8.0,47.77,397.0,28.0,0,0,0,0,,,,831,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
SAT-4,3002897,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter coli,6.0,0.0,6.0,83.24,452.0,39.83,0,0,0,0,,,APH(3')-IIIa (1),543,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation
vgaE,3002833,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus aureus,8.0,0.0,8.0,55.62,876.0,25.12,0,0,0,0,,,,1575,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
vanR gene in vanG cluster,3002926,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecalis,2.0,0.0,2.0,12.57,89.0,22.0,0,0,0,0,,,,708,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
catQ,3002687,protein homolog model,CARD,1,100.0,no data,no data,Clostridium perfringens,1.0,1.0,2.0,22.73,150.0,22.0,0,0,0,0,,,,660,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
tet(S),3000192,protein homolog model,CARD,1,100.0,no data,no data,Listeria monocytogenes,6.0,0.0,6.0,31.57,608.0,34.67,0,0,0,0,,,,1926,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
mphB,3000318,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,23.0,3.0,26.0,95.16,865.0,24.0,0,0,0,0,,,,909,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation
aadA24,3002621,protein homolog model,CARD,1,100.0,no data,no data,Salmonella enterica,1.0,0.0,1.0,18.97,148.0,1.0,0,0,0,0,,,SAT-2 (1),780,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ANT(4')-Ia,3002623,protein homolog model,CARD,1,100.0,no data,no data,Plasmid pTB913,11.0,3.0,14.0,84.91,647.0,31.86,0,0,0,0,,,,762,ANT(4'),aminoglycoside antibiotic,antibiotic inactivation
Erm(33),3000599,protein homolog model,CARD,1,100.0,no data,no data,Mammaliicoccus sciuri,12.0,4.0,16.0,44.54,326.0,10.12,0,0,0,0,,,,732,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
tet(M),3000186,protein homolog model,CARD,1,100.0,no data,no data,Erysipelothrix rhusiopathiae,205.0,23.0,228.0,100.0,1920.0,34.92,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(36),3000197,protein homolog model,CARD,1,100.0,no data,no data,Bacteroides coprosuis,83.0,7.0,90.0,99.32,1910.0,37.72,0,0,0,0,,,,1923,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
APH(3'')-Ib,3002639,protein homolog model,CARD,1,100.0,no data,no data,Pseudomonas aeruginosa,8.0,0.0,8.0,95.77,770.0,44.0,0,0,0,0,,,,804,APH(3''),aminoglycoside antibiotic,antibiotic inactivation
vgaB,3000118,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus aureus,3.0,1.0,4.0,9.34,155.0,16.5,0,0,0,0,,,,1659,vga-type ABC-F protein,streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
linG,3002879,protein homolog model,CARD,1,100.0,no data,no data,Salmonella enterica,4.0,0.0,4.0,46.47,382.0,22.5,0,0,0,0,,,,822,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
aadA8,3002608,protein homolog model,CARD,1,100.0,no data,no data,uncultured bacterium,2.0,0.0,2.0,24.37,193.0,11.0,0,0,0,0,,,,792,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
AAC(6')-Ib7,3002578,protein homolog model,CARD,1,100.0,no data,no data,Salmonella enterica,2.0,0.0,2.0,17.94,141.0,17.0,0,0,0,0,,,,786,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
vgaC,3002831,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus aureus,13.0,1.0,14.0,84.0,1318.0,36.57,0,0,0,0,,,,1569,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
tet(33),3000478,protein homolog model,CARD,1,100.0,no data,no data,Corynebacterium glutamicum,2.0,0.0,2.0,24.51,300.0,44.0,0,0,0,0,,,,1224,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
tet(O),3000190,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter jejuni,19.0,1.0,20.0,83.02,1594.0,12.55,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(T),3000193,protein homolog model,CARD,1,100.0,no data,no data,Streptococcus pyogenes,198.0,8.0,206.0,100.0,1956.0,37.05,0,0,0,0,,,,1956,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
AAC(6')-Im,3004629,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,2.0,0.0,2.0,55.87,300.0,44.0,0,0,0,0,,,,537,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
Erm(47),3003908,protein homolog model,CARD,1,100.0,no data,no data,Helcococcus kunzii,16.0,2.0,18.0,100.0,741.0,34.89,0,0,0,0,,,,741,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,antibiotic target alteration
LnuP,3004601,protein homolog model,CARD,1,100.0,no data,no data,Clostridium perfringens,4.0,2.0,6.0,69.66,349.0,22.0,0,0,0,0,,,,501,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
aadS,3004683,protein homolog model,CARD,1,100.0,no data,no data,Transposon Tn4551,5.0,1.0,6.0,34.61,299.0,29.33,0,0,0,0,,,,864,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
vga(E) Staphylococcus cohnii,3004715,protein homolog model,CARD,1,100.0,no data,no data,Staphylococcus cohnii,2.0,0.0,2.0,13.71,216.0,32.0,0,0,0,0,,,,1575,vga-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
tet(X4),3004720,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,1.0,1.0,2.0,2.94,34.0,0.0,0,0,0,0,,,,1158,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation
tet(L),3000179,protein homolog model,CARD,1,100.0,no data,no data,Geobacillus stearothermophilus,5.0,1.0,6.0,41.1,566.0,24.67,0,0,0,0,,,,1377,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
lnuG,3004085,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecalis,24.0,0.0,24.0,85.7,689.0,43.75,0,0,0,0,,,,804,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
cfrC,3004146,protein homolog model,CARD,1,100.0,no data,no data,Clostridium botulinum,4.0,0.0,4.0,19.23,199.0,44.0,0,0,0,0,,,,1035,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic,antibiotic target alteration
tet(W/N/W),3004442,protein homolog model,CARD,1,100.0,no data,no data,uncultured bacterium,12.0,2.0,14.0,47.71,916.0,6.57,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
qacEdelta1,3005010,protein homolog model,CARD,1,100.0,no data,no data,Pseudomonas aeruginosa,3.0,0.0,3.0,77.01,268.0,15.0,0,0,0,0,,,sul1 (1),348,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),3005099,protein homolog model,CARD,1,100.0,no data,no data,Streptococcus pyogenes,30.0,4.0,34.0,86.34,632.0,23.5,0,0,0,0,,,,732,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
Bifidobacterium bifidum ileS conferring resistance to mupirocin,3003730,protein homolog model,CARD,1,100.0,no data,no data,Bifidobacterium bifidum,2.0,0.0,2.0,2.23,74.0,22.0,0,0,0,0,,,,3324,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin-like antibiotic,antibiotic target alteration
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,3004480,protein homolog model,CARD,1,100.0,no data,no data,Bifidobacterium adolescentis,4.0,0.0,4.0,9.52,339.0,22.0,0,0,0,0,,,,3561,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement
LnuH,3004600,protein homolog model,CARD,1,100.0,no data,no data,Riemerella anatipestifer,15.0,3.0,18.0,96.68,757.0,29.33,0,0,0,0,,,,783,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation
tet(O/M/O),3007120,protein homolog model,CARD,1,100.0,no data,no data,Campylobacter coli,18.0,0.0,18.0,45.47,873.0,10.11,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(O/W),3007121,protein homolog model,CARD,1,100.0,no data,no data,Megasphaera elsdenii,6.0,0.0,6.0,31.35,602.0,7.67,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(O/32/O),3007119,protein homolog model,CARD,1,100.0,no data,no data,Clostridiaceae bacterium,8.0,0.0,8.0,19.32,371.0,3.5,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(O/W/32/O),3007122,protein homolog model,CARD,1,100.0,no data,no data,Lactobacillus johnsonii,7.0,0.0,7.0,38.91,747.0,7.57,0,0,0,0,,,tet(40) (1),1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(O/W/O),3007123,protein homolog model,CARD,1,100.0,no data,no data,Megasphaera elsdenii,2.0,0.0,2.0,14.43,277.0,1.0,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(W/32/O),3007124,protein homolog model,CARD,1,100.0,no data,no data,Trueperella pyogenes,2.0,0.0,2.0,15.16,291.0,14.0,0,0,0,0,,,,1920,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(X6),3005056,protein homolog model,CARD,1,100.0,no data,no data,Proteus genomosp.,4.0,1.0,5.0,43.8,498.0,9.2,0,0,0,0,,,EstT (1),1137,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation
ANT(9)-Ib,3007401,protein homolog model,CARD,1,100.0,no data,no data,Enterococcus faecalis,4.0,0.0,4.0,25.13,193.0,42.0,0,0,0,0,,,,768,ANT(9),aminoglycoside antibiotic,antibiotic inactivation
AAC(3)-IVa,3002539,protein homolog model,CARD,1,100.0,no data,no data,Escherichia coli,3.0,1.0,4.0,47.1,366.0,31.5,0,0,0,0,,,,777,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
EstT,3007459,protein homolog model,CARD,1,100.0,no data,no data,Sphingobacterium faecium,49.0,8.0,57.0,100.0,921.0,34.79,0,0,0,0,,,tet(X6) (1),921,macrolide esterase,macrolide antibiotic,antibiotic inactivation
cfrE,3005023,protein homolog model,CARD,1,100.0,no data,no data,Clostridium sp.,15.0,3.0,18.0,80.48,833.0,31.56,0,0,0,0,,,,1035,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic,antibiotic target alteration
Clostridium sporogenes cplR,3007645,protein homolog model,CARD,1,100.0,no data,no data,Clostridium sporogenes,1.0,1.0,2.0,2.77,46.0,11.0,0,0,0,0,,,,1659,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic,antibiotic target protection
